sample	annot	name	MT	WT	delta_PSI	delta_PSI_pct	p_value	padj	signif
117	One_203	Weaken_Can_Py	Rep_One_MAP_Weaken_Canonical_PyTract_Copy_4	0.302246327220559	0.366024668114949	-0.0637783408943899	-6.37783408943899	0.268730497916702	0.351254036647027	FALSE
118	One_204	Weaken_Can_Py	Rep_One_MAP_Weaken_Canonical_PyTract_Copy_5	0.373762354085435	0.384708768327583	-0.0109464142421476	-1.09464142421476	0.707723037725472	0.766369017342678	FALSE
119	One_205	WT	Rep_One_MAP_Base_150	0.0817179373723218	0.0311515660482114	0.0505663713241105	5.05663713241105	0.00131342722514557	0.00605635887150459	TRUE
120	One_206	NAGNAG	Rep_One_map_nagnag_var1	0.193939408145759	0.182572039812955	0.0113673683328035	1.13673683328035	0.825720890046475	0.862073382061099	FALSE
121	One_207	NAGNAG	Rep_One_map_nagnag_var2	0.217151589287898	0.0886255524984241	0.128526036789474	12.8526036789474	0.00109463448560466	0.00547134401352135	TRUE
122	One_208	NAGNAG	Rep_One_map_nagnag_var3	0.431144982152063	0.431159221477694	-1.4239325630605e-05	-0.0014239325630605	0.999759161068053	0.999759161068053	FALSE
123	One_209	NAGNAG	Rep_One_map_nagnag_var4	0.106941017183556	0.0480917471453489	0.0588492700382068	5.88492700382068	0.00130127345234863	0.00605635887150459	TRUE
124	One_21	Branch_Point	Rep_One_MAP_C3SS_BPS_TNA_1	0.268544491195263	0.202798663324979	0.0657458278702835	6.57458278702835	0.347115402232997	0.42583656077707	FALSE
125	One_210	NAGNAG	Rep_One_map_nagnag_var5	0.330349499986585	0.336469452426346	-0.00611995243976043	-0.611995243976043	0.911797200845386	0.93239220948871	FALSE
126	One_211	NAGNAG	Rep_One_map_nagnag_var6	0.176297165641828	0.083987300978814	0.0923098646630142	9.23098646630142	0.00247401998505435	0.00882477289299459	TRUE
127	One_212	NAGNAG	Rep_One_map_nagnag_var7	0.00659935851935419	0.00623420648820179	0.000365152031152402	0.0365152031152401	0.746223095004621	0.799180863037207	FALSE
128	One_213	NAGNAG	Rep_One_map_nagnag_var8	0.0580359048551121	0.0253685522660486	0.0326673525890635	3.26673525890635	0.00125311514584483	0.00600049367914159	TRUE
129	One_214	NAGNAG	Rep_One_map_nagnag_var9	0.0193838643771219	0.0218078904820726	-0.00242402610495061	-0.242402610495061	0.796912868700444	0.842595772001744	FALSE
130	One_215	NAGNAG	Rep_One_map_nagnag_var10	0.350878389459722	0.171424460447571	0.179453929012152	17.9453929012152	0.000105694262027011	0.00200523601426593	TRUE
131	One_216	NAGNAG	Rep_One_map_nagnag_var11	0.484514746247102	0.491039324527586	-0.00652457828048436	-0.652457828048436	0.392804269534775	0.473647763264692	FALSE
132	One_217	NAGNAG	Rep_One_map_nagnag_var12	0.316658502651685	0.145298635031599	0.171359867620087	17.1359867620087	0.00149365882996753	0.00648084337243999	TRUE
133	One_218	NAGNAG	Rep_One_map_nagnag_var13	0.392572551370658	0.424987288815258	-0.0324147374446004	-3.24147374446004	0.456497656421906	0.536611986391232	FALSE
