sample	mean_C3SS_ratio	delta_C3SS_ratio	t_statistic	df	p_value	p_adj
One_70	0.119170286893241	0.0880187208450298	8.62627199390937	2.23054550048586	0.00934682970649745	0.0165955218605691
One_71	0.16037545185297	0.129223885804759	20.7606443457356	2.66896254111113	0.000500482977316449	0.002618316207645
One_72	0.106999133008113	0.0758475669599021	4.80949405324385	2.09363247621308	0.037088272320171	0.0459672602072943
One_73	0.497018022656373	0.465866456608162	191.222854990401	2.17095732860768	1.25127322568309e-05	0.000178482559298404
One_74	0.144229003319912	0.113077437271701	15.516689884551	2.47332595436613	0.00158229942988085	0.00600307493626552
One_75	0.357029345611631	0.32587777956342	27.7762593956002	2.17221281895183	0.000820179674366207	0.00377434535333338
One_76	0.109069998892972	0.0779184328447603	21.6541164626822	3.94242664246253	3.01952492941108e-05	0.000312646643732772
One_77	0.145851977874154	0.114700411825943	34.8108917890377	3.99061606120405	4.15884067258088e-06	8.1495794068745e-05
One_78	0.476915882262063	0.445764316213852	183.371413541713	2.15287641614678	1.486891771681e-05	0.000183704548870031
One_79	0.228287279378469	0.197135713330257	10.9994088309644	2.07213167033363	0.00719790353922149	0.0153652751561358
One_8	0.0830528482905711	0.0519012822423598	2.39240427116219	2.04895836248517	0.136157297010755	0.148399510119179
One_80	0.0702219103860782	0.0390703443378668	4.31808401814979	2.29720682172811	0.0385617264780116	0.0474385595533955
One_81	0.215608465608466	0.184456899560254	10.5337746027201	2.07562314252186	0.00781713937263908	0.0154768758571566
One_82	0.381384681727065	0.350233115678854	58.9185662322476	2.74069473338242	2.46659523392796e-05	0.00026649952853526
One_83	0.078763524014702	0.0476119579664906	5.26452134384828	2.29749643843864	0.0252586060495635	0.0342057962033598
One_84	0.480546429907584	0.449394863859373	175.35408286548	2.60156836904047	2.26921831027076e-06	6.63412647179157e-05
One_85	0.116627890802877	0.0854763247546656	14.6224446909228	2.76870993089073	0.00105411965559349	0.00454258450238459
One_86	0.231159433874407	0.200007867826196	10.7399055713043	2.06672171715928	0.00762845684142022	0.0154768758571566
One_87	0.154861707096714	0.123710141048502	5.47989159403821	2.04517001488469	0.0301966834957332	0.0392873081083231
One_88	0.167618230097369	0.136466664049158	5.52080376118619	2.03760732215036	0.0300097789167659	0.0391466144924742
One_89	0.249335916749155	0.218184350700944	8.58387201572061	2.03554862041089	0.0126051372697983	0.0201207112878361
One_9	0.00327139413127736	-0.027880171916934	-11.6357889482072	2.0348187814836	0.00685966798558679	0.0150187444442142
One_90	0.0886841936236516	0.0575326275754402	3.39147152101142	2.08067548998211	0.0728925056515503	0.083860128029677
One_91	0.0629753503658644	0.0318237843176531	8.73238593225636	3.91994341113518	0.00103754507958317	0.00452333249607751
